Img,Name,Location,Rating
"https://images.static-collegedunia.com/public/college_data/images/appImage/1509430807cover.jpg?tr=w-305,h-145,c-force","INDIAN INSTITUTE OF TECHNOLOGY MADRAS - [IITM], CHENNAI","CHENNAI, TAMIL NADU",8.7 / 10
"https://images.static-collegedunia.com/public/college_data/images/appImage/25455_IITDelhi_New.jpg?tr=w-305,h-145,c-force","INDIAN INSTITUTE OF TECHNOLOGY - [IIT], NEW DELHI","NEW DELHI, DELHI NCR",8.8 / 10
"https://images.static-collegedunia.com/public/college_data/images/appImage/1593580888universitypic.jpg?tr=w-305,h-145,c-force","CHANDIGARH UNIVERSITY - [CU], CHANDIGARH","CHANDIGARH, CHANDIGARH",8.6 / 10
"https://images.static-collegedunia.com/public/college_data/images/appImage/25703_IIT_New.jpg?tr=w-305,h-145,c-force","IIT BOMBAY - INDIAN INSTITUTE OF TECHNOLOGY, MUMBAI","MUMBAI, MAHARASHTRA",8.8 / 10
"https://images.static-collegedunia.com/public/college_data/images/appImage/25617_MANIPAL.jpg?tr=w-305,h-145,c-force","MANIPAL ACADEMY OF HIGHER EDUCATION - [MAHE], MANIPAL","MANIPAL, KARNATAKA",8.4 / 10
"https://images.static-collegedunia.com/public/college_data/images/appImage/1488973535e1.jpg?tr=w-305,h-145,c-force","INDIAN INSTITUTE OF TECHNOLOGY - [IIT], KHARAGPUR","KHARAGPUR, WEST BENGAL",8.5 / 10
"https://images.static-collegedunia.com/public/college_data/images/appImage/25948_IITK_New.jpg?tr=w-305,h-145,c-force","INDIAN INSTITUTE OF TECHNOLOGY - [IIT], KANPUR","KANPUR, UTTAR PRADESH",8.9 / 10
"https://images.static-collegedunia.com/public/college_data/images/appImage/25992_IITR_New.jpg?tr=w-305,h-145,c-force","INDIAN INSTITUTE OF TECHNOLOGY - [IIT], ROORKEE","ROORKEE, UTTARAKHAND",8.4 / 10
"https://images.static-collegedunia.com/public/college_data/images/appImage/25800_BITS_App.jpg?tr=w-305,h-145,c-force","BIRLA INSTITUTE OF TECHNOLOGY AND SCIENCE - [BITS], PILANI","PILANI, RAJASTHAN",8.8 / 10
"https://images.static-collegedunia.com/public/college_data/images/placeholder_300X223.png?tr=w-305,h-145,c-force","INDIAN INSTITUTE OF TECHNOLOGY - [IIT], GUWAHATI","GUWAHATI, ASSAM",8.5 / 10
"https://images.static-collegedunia.com/public/college_data/images/placeholder_300X223.png?tr=w-305,h-145,c-force","INDIAN INSTITUTE OF TECHNOLOGY - [IIT], HYDERABAD","HYDERABAD, TELANGANA",8.4 / 10
"https://images.static-collegedunia.com/public/college_data/images/placeholder_300X223.png?tr=w-305,h-145,c-force","COLLEGE OF ENGINEERING, ANNA UNIVERSITY - [CEG], CHENNAI","CHENNAI, TAMIL NADU",8.3 / 10
"https://images.static-collegedunia.com/public/college_data/images/placeholder_300X223.png?tr=w-305,h-145,c-force","NIT TRICHY, TIRUCHIRAPPALLI","TIRUCHIRAPPALLI, TAMIL NADU",8.4 / 10
"https://images.static-collegedunia.com/public/college_data/images/placeholder_300X223.png?tr=w-305,h-145,c-force","INDIAN INSTITUTE OF TECHNOLOGY - [IIT BHU], VARANASI","VARANASI, UTTAR PRADESH",8.4 / 10
"https://images.static-collegedunia.com/public/college_data/images/placeholder_300X223.png?tr=w-305,h-145,c-force","INSTITUTE OF CHEMICAL TECHNOLOGY - [ICT], MUMBAI","MUMBAI, MAHARASHTRA",8.6 / 10
"https://images.static-collegedunia.com/public/college_data/images/placeholder_300X223.png?tr=w-305,h-145,c-force","INDIAN INSTITUTE OF TECHNOLOGY - [IIT], INDORE","INDORE, MADHYA PRADESH",8.1 / 10
